Municipalities,Year,allAges,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,av_Income
Helsingør,2018,0.306288485467249,0.0303097980410299,0.0813578789522381,0.0749768688383371,0.0446670707973072,0.0462623233257825,0.0271192929840794,0.00159525252847526,254779
Herlev,1995,0.375524629997791,0.0625874383329652,0.0699506663721375,0.0736322803917237,0.099403578528827,0.0478609822546204,0.0220896841175171,0,115151
Herlev,1996,0.393208878435984,0.0477730413053065,0.0771718359547258,0.069822137292371,0.0992209319417904,0.0661472879611936,0.0293987946494194,0.00367484933117742,119272
Herlev,1997,0.403151914971596,0.0439802089059923,0.109950522264981,0.0806303829943192,0.0586402785413231,0.0733003481766538,0.0256551218618288,0.00366501740883269,124169
Herlev,1998,0.377718288166049,0.0696761890791742,0.0880120283105358,0.0806776926179911,0.0696761890791742,0.0550075176940849,0.00366716784627232,0,129825
Herlev,1999,0.427787934186472,0.0658135283363803,0.0840950639853748,0.0987202925045704,0.102376599634369,0.0475319926873857,0.0255941499085923,0.0036563071297989,134415
Herlev,2000,0.449479261830806,0.0255801205919971,0.0986661794262744,0.102320482367988,0.142517814726841,0.0438516353005664,0.0328887264754248,0.00365430294171387,139124
Herlev,2001,0.400626434060531,0.0327785264231344,0.0764832283206468,0.120187930218159,0.0801252868121062,0.0655570528462687,0.0218523509487562,0.00364205849145937,143401
Herlev,2002,0.352752927485635,0.0400029093024947,0.0872790748418067,0.0872790748418067,0.0618226780129464,0.0581860498945378,0.0181831405920431,0,149787
Herlev,2003,0.362398418625082,0.0585694413939527,0.080532981916685,0.080532981916685,0.0439270810454645,0.0658906215681968,0.0292847206969764,0.00366059008712204,154988
Herlev,2004,0.311674977999413,0.0696685244939865,0.0513347022587269,0.0660017600469346,0.0623349955998827,0.0403344089175711,0.0220005866823115,0,161423
Herlev,2005,0.316572185820511,0.0441728631377457,0.0736214385629095,0.077302510491055,0.0515350069940367,0.0478539350658912,0.0184053596407274,0.00368107192814548,168435
Herlev,2006,0.318247418865411,0.0666099248788069,0.0740110276431188,0.0481071679680272,0.0481071679680272,0.062909373496651,0.0185027569107797,0,173950
Herlev,2007,0.373929626444303,0.0710466290244176,0.0785252215533037,0.0448715551733164,0.0710466290244176,0.0747859252888606,0.0336536663799873,0,178441
Herlev,2008,0.432867843565325,0.0715172958934016,0.0828095005081492,0.090337636917981,0.090337636917981,0.0677532276884857,0.030112545639327,0,182484
Herlev,2009,0.364182466679182,0.0675802515487141,0.0788436268068331,0.0375445841937301,0.0713347099680871,0.0825980852262061,0.022526750516238,0.00375445841937301,185132
Herlev,2010,0.402922126826329,0.0753125470703419,0.112968820605513,0.0527187829492393,0.079078174423859,0.0564844103027564,0.0263593914746197,0,199259
Herlev,2011,0.304545625446479,0.0563973380456442,0.0639169831183968,0.0451178704365154,0.0639169831183968,0.0563973380456442,0.0187991126818814,0,203029
Herlev,2012,0.304419723391461,0.0413409500901984,0.0601322910402886,0.0714070956103428,0.0488574864702345,0.0714070956103428,0.00375826819001804,0,207286
Herlev,2013,0.363528451665554,0.051932635952222,0.0853179019215075,0.0853179019215075,0.0890273759180948,0.0370947399658728,0.00370947399658728,0.00370947399658728,213345
Herlev,2014,0.33566736446979,0.0469212444957771,0.101061141990905,0.0433119179961019,0.0866238359922039,0.0324839384970764,0.0252652854977261,0,215922
Herlev,2015,0.277106721614324,0.0497371038794941,0.0746056558192412,0.0603950547108143,0.0532897541566008,0.0319738524939605,0.00355265027710672,0,220790
Herlev,2016,0.334236357879182,0.0457376068676776,0.0809203813812757,0.0598107166731168,0.0774021039299159,0.0422193294163178,0.0211096647081589,0.00351827745135981,225266
Herlev,2017,0.225304513131029,0.0176019150883616,0.0598465113004295,0.0563261282827572,0.0492853622474125,0.0281630641413786,0.00352038301767232,0,229138
